市町村,タイトル,緯度,経度,設置者
仙台市,たんや,38.260144,140.8821270,宮城県
阿南市,富岡西高等学校,33.919003,134.650177,徳島県
徳島市,城東高等学校,34.07256089,134.5588461,徳島県
徳島市,城南高等学校,34.05529368,134.5423883,徳島県
徳島市,城北高等学校,34.089264,134.5306073,徳島県
徳島市,城ノ内高等学校,34.0916785,134.5454833,徳島県
徳島市,徳島北高等学校,34.12655188,134.5292454,徳島県
徳島市,城西高等学校,34.0699606,134.5018371,徳島県
神山町,城西高等学校神山分校,33.9686637,134.3430483,徳島県
徳島市,徳島科学技術高等学校,34.08606928,134.5252845,徳島県
徳島市,徳島商業高等学校,34.07448355,134.5730166,徳島県
徳島市,徳島中央高等学校,34.08797787,134.5265981,徳島県
鳴門市,鳴門高等学校,34.178619,134.600922,徳島県
鳴門市,鳴門渦潮高等学校(撫養キャンパス）,34.17273028,134.5951247,徳島県
板野町,板野高等学校,34.14127324,134.4699517,徳島県
小松島市,小松島高等学校,34.00439946,134.5870247,徳島県
小松島市,小松島西高等学校,34.0154463,134.5775828,徳島県
勝浦町,小松島西高等学校勝浦校,33.93145011,134.5133899,徳島県
阿南市,阿南工業高等学校,33.92535168,134.6395691,徳島県
阿南市,富岡東高等学校,33.92166336,134.6652818,徳島県
阿南市,富岡東高等学校羽ノ浦校,33.95968862,134.6279374,徳島県
阿南市,新野高等学校,33.85069416,134.5961175,徳島県
那賀町,那賀高等学校,33.85748637,134.4814356,徳島県
海陽町,海部高等学校,33.60766315,134.3580228,徳島県
石井町,名西高等学校,34.07258682,134.4408443,徳島県
吉野川市,吉野川高等学校,34.07870261,134.3637189,徳島県
吉野川市,川島高等学校,34.05924945,134.3247422,徳島県
阿波市,阿波高等学校,34.09901756,134.3515979,徳島県
阿波市,阿波西高等学校,34.087852,134.264954,徳島県
美馬市,穴吹高等学校,34.05275635,134.167495,徳島県
美馬市,脇町高等学校,34.07101239,134.1486169,徳島県
三好市,辻高等学校,34.02871084,133.8749595,徳島県
三好市,池田高等学校,34.0306652,133.8042725,徳島県
三好市,三好高等学校,34.03795172,133.8495701,徳島県
徳島市,徳島市立高等学校,34.07209805,134.579123,徳島市
鳴門市,鳴門渦潮高等学校(大津キャンパス）,34.16529074,134.6023179,徳島県
